company,region,houses_count,points,satisfaction_level,reliability_level,violations_level,global_id
«ТЕХКОМБЕЗОПАСНОСТЬ»,Центральный ,3,81.7,104.0,50.0,99.99,2387463364
«ЕВРОТРЭВЭЛ 1»,Северный ,62,81.69,105.47,50.0,98.51,2387463365
«КОНДОР-ГРУПП»,Юго-Западный ,3,81.69,104.0,50.0,99.98,2387463366
«ОЛИМП ЖКХ»,Северный ,3,81.69,105.91,50.0,98.0,2387463367
«ЖИЛИЩНИК РАЙОНА КОСИНО-УХТОМСКИЙ»,Восточный ,193,81.68,106.42,50.0,97.52,2387463368
«УПРАВЛЯЮЩАЯ КОМПАНИЯ «СТЕЛЛА»,"[Новомосковский , Троицкий ]",70,81.67,104.0,98.0,99.69,2387463369
«ЖИЛИЩНИК БАСМАННОГО РАЙОНА»,Центральный ,505,81.65,106.41,50.0,97.48,2387463371
«ЖИЛИЩНИК РАЙОНА БОГОРОДСКОЕ»,Восточный ,300,81.65,105.44,50.0,98.44,2387463372
«БАМОС ТРЕЙД»,Центральный ,34,81.64,106.72,50.0,97.12,2387463373
«УК КОМФОРТ»,Южный ,4,81.63,104.0,63.0,99.76,2387463374
«УК «ИМИДЖ КОМФОРТ»,Юго-Восточный ,5,81.62,103.82,48.0,100.0,2387463376
«КОМНАТСЕРВИС»,Южный ,1,81.62,106.0,0.0,98.0,2387463377
«ЖИЛИЩНИК РАЙОНА МОСКВОРЕЧЬЕ-САБУРОВО»,Южный ,116,81.61,106.11,50.0,97.66,2387463378
УПРАВЛЯЮЩАЯ КОМПАНИЯ «УНИВЕРСАЛЬНЫЙ СЕРВИС МЕРИДИАН»,"[Южный , Юго-Восточный ]",7,81.6,103.95,75.0,99.68,2387463379
«УПРАВЛЯЮЩАЯ КОМПАНИЯ «МУНИЦИПАЛЬНЫЕ ДОМА»,Юго-Восточный ,7,81.57,103.92,50.0,99.75,2387463380
«АБСОЛЮТ»,"[Новомосковский , Троицкий ]",2,81.56,104.0,0.0,99.91,2387463381
«ЖИЛИЩНИК РАЙОНА ХОРОШЕВО-МНЕВНИКИ»,Северо-Западный ,426,81.55,104.9,94.0,98.5,2387463382
«ЖИЛИЩНИК РАЙОНА ПЕРОВО»,Восточный ,529,81.55,105.0,50.0,98.55,2387463383
«КОМПАНИЯ «ВАНИ»,Южный ,4,81.55,103.79,50.0,99.83,2387463384
«ЖИЛИЩНИК РАЙОНА НОВОГИРЕЕВО»,Восточный ,285,81.54,105.0,48.0,98.52,2387463385
«ЖИЛИЩНИК РАЙОНА ЗАМОСКВОРЕЧЬЕ»,Центральный ,200,81.53,107.0,50.0,96.51,2387463386
«ЖИЛИЩНИК РАЙОНА ФИЛЕВСКИЙ ПАРК»,Западный ,228,81.52,105.0,72.0,98.39,2387463387
«УПРАВЛЯЮЩАЯ КОМПАНИЯ ЭКОЛОГИЧЕСКИЙ ФАКТОР»,Центральный ,85,81.52,106.12,49.0,97.44,2387463388
«ЖКХ КИЕВСКИЙ»,"[Новомосковский , Троицкий ]",30,81.52,106.0,47.0,97.57,2387463389
«АЛЕВ»,Северо-Восточный ,12,81.46,103.85,50.0,99.54,2387463390
«ЖИЛИЩНИК МОЖАЙСКОГО РАЙОНА»,Западный ,388,81.45,104.79,50.0,98.58,2387463391
«ИВУШКА»,Северный ,37,81.44,106.78,50.0,96.57,2387463392
УПРАВЛЯЮЩАЯ КОМПАНИЯ ДИРЕКЦИЯ ЭКСПЛУАТАЦИИ ЗДАНИЙ «БЕГОВАЯ»,Северный ,44,81.4,107.19,49.0,96.0,2387463393
«ОСТАФЬЕВО-ГРУПП»,"[Новомосковский , Троицкий ]",21,81.4,104.0,50.0,99.24,2387463394
«ЛАКИ БИЗНЕС»,Северный ,39,81.39,105.0,50.0,98.18,2387463395
«ЖИЛИЩНИК РАЙОНА АКАДЕМИЧЕСКИЙ»,Юго-Западный ,328,81.35,104.43,50.0,98.69,2387463396
«ЖИЛИЩНИК РАЙОНА ЗЮЗИНО»,Юго-Западный ,346,81.35,104.51,91.0,98.42,2387463397
«ЖИЛИЩНИК ХОРОШЕВСКОГО РАЙОНА»,Северный ,171,81.32,104.86,96.0,97.95,2387463398
«ЖИЛИЩНИК РАЙОНА СТРОГИНО»,Северо-Западный ,97,81.3,104.45,49.0,98.57,2387463399
«КВАДР-М»,Юго-Восточный ,17,81.29,103.31,50.0,99.66,2387463400
ГРУППА КОМПАНИЙ «ВАШЕ ПРАВО»,"[Новомосковский , Троицкий ]",21,81.29,104.0,50.0,98.98,2387463401
«УПРАВЛЯЮЩАЯ КОМПАНИЯ РЕСУРСЭНЕРГОПРОМ»,Северный ,11,81.29,104.11,50.0,98.86,2387463402
«ЖИЛИЩНИК РАЙОНА ЮЖНОЕ ТУШИНО»,Северо-Западный ,313,81.27,105.11,50.0,97.83,2387463403
«ЖИЛИЩНИК РАЙОНА ЛОМОНОСОВСКИЙ»,Юго-Западный ,157,81.26,104.41,50.0,98.49,2387463404
УПРАВЛЯЮЩАЯ КОМПАНИЯ «ПЕНТА»,Северо-Восточный ,2,81.25,103.29,50.0,99.57,2387463405
«ЖИЛИЩНИК РАЙОНА КУНЦЕВО»,Западный ,357,81.24,104.66,50.0,98.19,2387463406
«ЖИЛИЩНИК РАЙОНА ЧЕРТАНОВО ЮЖНОЕ»,Южный ,187,81.24,103.81,50.0,99.0,2387463407
«ЖИЛИЩНИК РАЙОНА БЕГОВОЙ»,Северный ,106,81.24,105.4,50.0,97.44,2387463408
«УК СТРОЙПРАКТИК»,Восточный ,22,81.24,103.17,48.0,99.69,2387463409
«ЖИЛИЩНИК РАЙОНА ХАМОВНИКИ»,Центральный ,277,81.22,106.76,50.0,96.0,2387463410
УПРАВЛЯЮЩАЯ КОМПАНИЯ ПРЕСНЕНСКОГО РАЙОНА,Центральный ,93,81.18,107.81,49.0,94.89,2387463411
«ЖИЛИЩНИК РАЙОНА НОВО-ПЕРЕДЕЛКИНО»,Западный ,118,81.17,103.67,49.0,99.0,2387463412
«ГРАНАТ»,Северо-Восточный ,40,81.17,105.94,89.0,96.54,2387463413
«ЖИЛИЩНИК МЕЩАНСКОГО РАЙОНА»,Центральный ,208,81.16,107.66,50.0,94.99,2387463414
УПРАВЛЯЮЩАЯ КОМПАНИЯ ДИРЕКЦИЯ ЭКСПЛУАТАЦИИ ЗДАНИЙ «ГОЛОВИНСКИЙ»,Северный ,48,81.13,104.93,50.0,97.65,2387463415
«ЖИЛИЩНИК РАЙОНА СОЛНЦЕВО»,Западный ,215,81.12,104.0,49.0,98.52,2387463416
УПРАВЛЯЮЩАЯ КОМПАНИЯ «СВИБЛОВ ГРАД»,Северо-Восточный ,116,81.1,103.65,50.0,98.86,2387463417
«ЖИЛИЩНИК ДОНСКОГО РАЙОНА»,Южный ,143,81.0,104.78,50.0,97.68,2387463418
«ЖИЛИЩНИК РАЙОНА РАМЕНКИ»,Западный ,205,81.0,103.35,87.0,98.89,2387463419
«ЖИЛИЩНИК РАЙОНА АРБАТ»,Центральный ,152,81.0,107.56,50.0,94.87,2387463420
«ЖИЛИЩНИК РАЙОНА ОРЕХОВО-БОРИСОВО ЮЖНОЕ»,Южный ,177,81.0,103.35,75.0,98.89,2387463421
«ДЕЗ ЛЕВОБЕРЕЖНЫЙ»,Северный ,89,81.0,103.95,49.0,98.42,2387463422
«ЖИЛИЩНИК РАЙОНА ХОВРИНО»,Северный ,176,81.0,103.3,50.0,99.0,2387463423
«ЖИЛИЩНИК РАЙОНА ЩУКИНО»,Северо-Западный ,298,81.0,104.84,50.0,97.47,2387463424
«СЕВЕР-СТРОЙ»,Северный ,80,81.0,104.41,50.0,97.91,2387463425
«ЖИЛИЩНИК РАЙОНА КОПТЕВО»,Северный ,141,81.0,103.82,50.0,98.42,2387463426
«УПРАВЛЯЮЩАЯ КОМПАНИЯ 24/7»,"[Новомосковский , Троицкий ]",1,81.0,102.0,100.0,100.0,2387463427
«ЖИЛИЩНИК РАЙОНА ПРЕОБРАЖЕНСКОЕ»,Восточный ,97,80.99,106.75,47.0,95.49,2387463428
«РЕМСПЕЦСЕРВИС-ЧН»,"[Южный , Юго-Восточный ]",38,80.99,102.59,97.0,99.41,2387463429
ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО «ГАЗПРОМ»,Юго-Западный ,1,80.99,102.0,97.0,99.98,2387463430
«ЖС ФАСИЛИТИ МЕНЕДЖМЕНТ»,Центральный ,2,80.99,102.0,100.0,99.98,2387463431
«ЮНИОН»,Северо-Западный ,1,80.99,102.0,93.0,100.0,2387463432
«УПРАВЛЯЮЩАЯ КОМПАНИЯ «ЛОСИНКА»,Северо-Восточный ,28,80.98,103.55,46.0,98.66,2387463433
«ЖИЛИЩНИК РАЙОНА ЧЕРЕМУШКИ»,Юго-Западный ,288,80.97,103.45,49.0,98.73,2387463434
«УПРАВЛЯЮЩАЯ КОМПАНИЯ РЭУ-52 РАЙОНА СОКОЛЬНИКИ»,Восточный ,9,80.97,104.0,50.0,98.12,2387463435
«СОЛЯРИС СЕВЕРНОЕ БУТОВО»,Юго-Западный ,5,80.97,102.0,100.0,99.92,2387463436
«ВЕРТИКАЛЬ»,"[Новомосковский , Троицкий ]",1,80.97,102.0,93.0,99.95,2387463437
«НЕВСКИЙ-27»,Центральный ,1,80.97,102.0,99.0,99.94,2387463438
«ЖИЛИЩНИК РАЙОНА ЧЕРТАНОВО СЕВЕРНОЕ»,Южный ,73,80.96,103.74,50.0,98.4,2387463439
«ЖКХ-СЕВЕР»,Северный ,25,80.96,103.0,0.0,99.31,2387463440
